,names,scores,logfoldchanges,pvals,Cohort,Drug,Target,Test,CellType,logPval_dir,Treatment
2,Mono-like,1.963961,4.9977994,0.049534613435626706,NB-4,ATRA + TSA,RARA + HDAC,wilcox,Mono-like,3.005083592450989,ATRA + TSA [NB-4]
3,LSPC-Cycle,1.963961,4.8668528,0.049534613435626706,NB-4,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Cycle,3.005083592450989,ATRA + TSA [NB-4]
4,ProMono-like,0.0,0.0,1.0,NB-4,ATRA + TSA,RARA + HDAC,wilcox,ProMono-like,-0.0,ATRA + TSA [NB-4]
5,LSPC-Quiescent,0.0,0.0,1.0,NB-4,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Quiescent,-0.0,ATRA + TSA [NB-4]
6,LSPC-Primed,-1.963961,-0.6052752,0.049534613435626706,NB-4,ATRA + TSA,RARA + HDAC,wilcox,LSPC-Primed,-3.005083592450989,ATRA + TSA [NB-4]
7,GMP-like,-1.963961,-1.1792984,0.049534613435626706,NB-4,ATRA + TSA,RARA + HDAC,wilcox,GMP-like,-3.005083592450989,ATRA + TSA [NB-4]
0,Mono-like,1.5491934,1.1649116,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,Mono-like,2.1091979004805,UNC1999 [OCI-AML3]
1,LSPC-Quiescent,1.5491934,2.9868996,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,LSPC-Quiescent,2.1091979004805,UNC1999 [OCI-AML3]
2,LSPC-Primed,1.5491934,0.13692665,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,LSPC-Primed,2.1091979004805,UNC1999 [OCI-AML3]
3,GMP-like,1.5491934,23.793545,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,GMP-like,2.1091979004805,UNC1999 [OCI-AML3]
4,PC2,-1.5491934,-0.73496354,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,PC2,-2.1091979004805,UNC1999 [OCI-AML3]
5,cDC-like,-1.5491934,-0.9417342,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,cDC-like,-2.1091979004805,UNC1999 [OCI-AML3]
6,ProMono-like,-1.5491934,-5.403886,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,ProMono-like,-2.1091979004805,UNC1999 [OCI-AML3]
7,LSPC-Cycle,-1.5491934,-0.25232345,0.12133525035848211,OCI-AML3,UNC1999,EZH2/EZH1,wilcox,LSPC-Cycle,-2.1091979004805,UNC1999 [OCI-AML3]
0,PC2,1.963961,-0.92113656,0.049534613435626706,F-36P,Etoposide,TOPO II,wilcox,PC2,3.005083592450989,Etoposide [F-36P]
1,cDC-like,1.963961,0.73249996,0.049534613435626706,F-36P,Etoposide,TOPO II,wilcox,cDC-like,3.005083592450989,Etoposide [F-36P]
2,ProMono-like,1.963961,0.5959752,0.049534613435626706,F-36P,Etoposide,TOPO II,wilcox,ProMono-like,3.005083592450989,Etoposide [F-36P]
3,Mono-like,1.963961,1.0728936,0.049534613435626706,F-36P,Etoposide,TOPO II,wilcox,Mono-like,3.005083592450989,Etoposide [F-36P]
4,LSPC-Primed,1.0910895,0.11302537,0.27523352407483426,F-36P,Etoposide,TOPO II,wilcox,LSPC-Primed,1.2901353632096608,Etoposide [F-36P]
5,GMP-like,-0.65465367,-0.21040343,0.5126907602619233,F-36P,Etoposide,TOPO II,wilcox,GMP-like,-0.6680824220792302,Etoposide [F-36P]
6,LSPC-Cycle,-1.5275252,-0.21705541,0.12663045794761718,F-36P,Etoposide,TOPO II,wilcox,LSPC-Cycle,-2.0664822141033747,Etoposide [F-36P]
7,LSPC-Quiescent,-1.963961,-0.645819,0.049534613435626706,F-36P,Etoposide,TOPO II,wilcox,LSPC-Quiescent,-3.005083592450989,Etoposide [F-36P]
0,PC2,1.963961,-0.75926685,0.049534613435626706,HL-60,Etoposide,TOPO II,wilcox,PC2,3.005083592450989,Etoposide [HL-60]
1,cDC-like,1.963961,0.47577104,0.049534613435626706,HL-60,Etoposide,TOPO II,wilcox,cDC-like,3.005083592450989,Etoposide [HL-60]
2,LSPC-Primed,1.963961,0.6144139,0.049534613435626706,HL-60,Etoposide,TOPO II,wilcox,LSPC-Primed,3.005083592450989,Etoposide [HL-60]
3,LSPC-Cycle,1.963961,4.6968756,0.049534613435626706,HL-60,Etoposide,TOPO II,wilcox,LSPC-Cycle,3.005083592450989,Etoposide [HL-60]
4,Mono-like,1.5275252,0.30033106,0.12663045794761718,HL-60,Etoposide,TOPO II,wilcox,Mono-like,2.0664822141033747,Etoposide [HL-60]
5,LSPC-Quiescent,0.0,0.0,1.0,HL-60,Etoposide,TOPO II,wilcox,LSPC-Quiescent,-0.0,Etoposide [HL-60]
6,ProMono-like,-0.2182179,-0.055332664,0.8272593465627113,HL-60,Etoposide,TOPO II,wilcox,ProMono-like,-0.1896370338910093,Etoposide [HL-60]
7,GMP-like,-1.963961,-1.1226768,0.049534613435626706,HL-60,Etoposide,TOPO II,wilcox,GMP-like,-3.005083592450989,Etoposide [HL-60]
0,PC2,1.963961,-0.25521442,0.049534613435626706,Kasumi-1,Etoposide,TOPO II,wilcox,PC2,3.005083592450989,Etoposide [Kasumi-1]
1,cDC-like,1.963961,0.6105586,0.049534613435626706,Kasumi-1,Etoposide,TOPO II,wilcox,cDC-like,3.005083592450989,Etoposide [Kasumi-1]
2,ProMono-like,1.963961,2.0506828,0.049534613435626706,Kasumi-1,Etoposide,TOPO II,wilcox,ProMono-like,3.005083592450989,Etoposide [Kasumi-1]
3,Mono-like,1.963961,1.8742422,0.049534613435626706,Kasumi-1,Etoposide,TOPO II,wilcox,Mono-like,3.005083592450989,Etoposide [Kasumi-1]
4,LSPC-Primed,1.963961,0.68195176,0.049534613435626706,Kasumi-1,Etoposide,TOPO II,wilcox,LSPC-Primed,3.005083592450989,Etoposide [Kasumi-1]
5,LSPC-Cycle,1.3093073,23.693602,0.19043026382552397,Kasumi-1,Etoposide,TOPO II,wilcox,LSPC-Cycle,1.6584692205924063,Etoposide [Kasumi-1]
6,LSPC-Quiescent,-1.3093073,-21.725758,0.19043026382552397,Kasumi-1,Etoposide,TOPO II,wilcox,LSPC-Quiescent,-1.6584692205924063,Etoposide [Kasumi-1]
7,GMP-like,-1.963961,-0.31041652,0.049534613435626706,Kasumi-1,Etoposide,TOPO II,wilcox,GMP-like,-3.005083592450989,Etoposide [Kasumi-1]
0,PC2,1.963961,,0.049534613435626706,MOLM-13,Etoposide,TOPO II,wilcox,PC2,3.005083592450989,Etoposide [MOLM-13]
1,ProMono-like,1.963961,0.66974175,0.049534613435626706,MOLM-13,Etoposide,TOPO II,wilcox,ProMono-like,3.005083592450989,Etoposide [MOLM-13]
2,Mono-like,1.963961,2.063489,0.049534613435626706,MOLM-13,Etoposide,TOPO II,wilcox,Mono-like,3.005083592450989,Etoposide [MOLM-13]
3,LSPC-Primed,1.963961,0.43705747,0.049534613435626706,MOLM-13,Etoposide,TOPO II,wilcox,LSPC-Primed,3.005083592450989,Etoposide [MOLM-13]
4,cDC-like,0.65465367,0.04840647,0.5126907602619233,MOLM-13,Etoposide,TOPO II,wilcox,cDC-like,0.6680824220792302,Etoposide [MOLM-13]
5,LSPC-Quiescent,0.65465367,0.22439344,0.5126907602619233,MOLM-13,Etoposide,TOPO II,wilcox,LSPC-Quiescent,0.6680824220792302,Etoposide [MOLM-13]
6,LSPC-Cycle,-1.963961,-1.3102717,0.049534613435626706,MOLM-13,Etoposide,TOPO II,wilcox,LSPC-Cycle,-3.005083592450989,Etoposide [MOLM-13]
7,GMP-like,-1.963961,-1.6857303,0.049534613435626706,MOLM-13,Etoposide,TOPO II,wilcox,GMP-like,-3.005083592450989,Etoposide [MOLM-13]
0,PC2,1.963961,,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,PC2,3.005083592450989,Etoposide [MonoMac-6]
1,cDC-like,1.963961,0.24991432,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,cDC-like,3.005083592450989,Etoposide [MonoMac-6]
2,Mono-like,1.963961,0.86776495,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,Mono-like,3.005083592450989,Etoposide [MonoMac-6]
3,LSPC-Cycle,1.963961,0.39383936,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,LSPC-Cycle,3.005083592450989,Etoposide [MonoMac-6]
4,LSPC-Primed,1.0910895,0.053523857,0.27523352407483426,MonoMac-6,Etoposide,TOPO II,wilcox,LSPC-Primed,1.2901353632096608,Etoposide [MonoMac-6]
5,ProMono-like,-1.963961,-2.6440816,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,ProMono-like,-3.005083592450989,Etoposide [MonoMac-6]
6,LSPC-Quiescent,-1.963961,-27.02176,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,LSPC-Quiescent,-3.005083592450989,Etoposide [MonoMac-6]
7,GMP-like,-1.963961,-2.5529196,0.049534613435626706,MonoMac-6,Etoposide,TOPO II,wilcox,GMP-like,-3.005083592450989,Etoposide [MonoMac-6]
0,PC2,1.963961,2.4526875,0.049534613435626706,MV4-11,Etoposide,TOPO II,wilcox,PC2,3.005083592450989,Etoposide [MV4-11]
1,cDC-like,1.963961,0.18897636,0.049534613435626706,MV4-11,Etoposide,TOPO II,wilcox,cDC-like,3.005083592450989,Etoposide [MV4-11]
